TIME	20170615_W07	20170615_W08	20170615_W09	20170615_W10	20170615_W11	20170615_W12	20170616_W02	20170616_W03	20170616_W04	20170616_W05	20170616_W06	20170626_W07	20170626_W08	20170626_W09	20170626_W10	20170626_W11	20170626_W12	20170630_W07	20170630_W09	20170630_W10
91	3009.429	3614.616	3117.028	3891.164	2721.444	4820.998	2252.506	2038.061	5152.872	2090.943	2439.448	2312.47	1968.748	2309.045	3506.613	1823.41	2512.054	4137.52	2453.702	3970.793
92	3052.37	3767.706	3145.076	3967.524	2726.473	4852.423	2248.996	2088.083	5258.911	2160.597	2476.789	2288.716	1954.356	2313.096	3556.281	1812.125	2531.705	4257.153	2455.976	3988.175
93	3068.11	3927.227	3161.453	4034.486	2719.473	4895.538	2247.804	2132.519	5361.15	2217.069	2515.299	2307.991	1956.824	2349.506	3615.707	1807.376	2522.755	4393.338	2448.585	4019.774
94	3109.593	4068.371	3161.842	4081.187	2709.126	4908.177	2247.406	2164.308	5484.543	2287.647	2546.282	2309.016	1971.072	2359.293	3656.563	1808.88	2532.556	4463.87	2413.773	4030.578
95	3103.151	4117.068	3158.7	4100.002	2676.052	4853.77	2236.013	2173.052	5523.965	2319.054	2552.975	2342.334	1973.566	2363.917	3654.279	1804.534	2502.012	4504.938	2386.41	4030.163
96	3081.866	4137.213	3128.117	4039.364	2630.736	4810.275	2206.057	2146.722	5559.093	2348.973	2540.85	2310.261	1953.421	2349.104	3639.146	1787.733	2448.156	4479.307	2345.365	4012.865
97	3033.59	4108.321	3072.898	3969.75	2574.47	4726.235	2184.003	2113.355	5552.009	2355.945	2542.026	2301.783	1946.156	2351.526	3606.031	1783.557	2435.39	4416.14	2292.874	3977.064
98	2985.889	3991.809	3022.518	3893.766	2519.686	4630.916	2156.814	2080.803	5531.727	2347.164	2511.328	2311.024	1933.679	2331.879	3563.18	1788.305	2430.311	4293.609	2262.835	3929.158
99	2915.886	3893.655	2941.262	3799.594	2482.539	4509.037	2107.587	2048.188	5475.016	2338.876	2470.875	2277.901	1905.277	2276.782	3498.756	1765.109	2418.701	4195.16	2213.58	3883.618
100	2856.775	3777.101	2866.429	3723.973	2429.792	4406.15	2075.644	2022.242	5443.451	2321.368	2444.346	2259.745	1876.617	2243.841	3418.535	1754.646	2427.948	4072.272	2202.32	3831.49
101	2802.029	3670.63	2807.618	3682.502	2394.733	4325.619	2047.617	1993.519	5381.476	2314.586	2395.528	2235.409	1843.832	2203.474	3342.814	1753.758	2433.833	3947.875	2198.896	3795.665
102	2794.793	3575.758	2752.978	3634.863	2361.924	4240.076	2020.546	1992.872	5340.876	2323.147	2379.959	2224.619	1818.396	2160.312	3244.859	1739.109	2429.193	3840.913	2207.927	3774.042
103	2805.66	3570.872	2712.81	3616.666	2345.797	4176.784	2003.265	2011.596	5309.381	2352.646	2364.148	2214.718	1801.851	2135.375	3200.373	1732.833	2449.176	3781.922	2211.68	3746.488
104	2835.946	3649.254	2694.484	3632.358	2329.207	4137.974	1994.332	2037.212	5288.097	2395.168	2373.888	2216.029	1797.62	2122.548	3137.389	1727.185	2444.905	3778.947	2203.736	3722.515
105	2872.676	3799.301	2674.689	3659.992	2329.236	4123.24	1990.466	2080.698	5281.244	2443.954	2358.305	2238.581	1797.81	2140.608	3102.984	1716.598	2452.928	3806.722	2202.572	3721.337
106	2911.167	3888.929	2666.213	3688.359	2323.214	4105.383	1986.487	2121.793	5283.845	2490.479	2369.078	2222.245	1799.716	2141.774	3098.918	1719.382	2453.564	3843.325	2196.217	3717.371
107	2950.262	4033.816	2654.972	3701.105	2316.175	4082.759	1974.967	2156.334	5231.344	2544.435	2381.752	2233.633	1804.886	2148.658	3084.12	1712.575	2437.811	3878.099	2182.735	3716.407
108	2946.705	4126.028	2623.771	3658.453	2289.567	4023.959	1965.793	2174.09	5230.393	2551.203	2377.257	2230.164	1795.593	2136.214	3048.93	1704.566	2411.252	3880.221	2161.006	3716.727
109	2898.022	4153.923	2584.967	3610.657	2256.607	3930.12	1942.406	2158.983	5160.845	2547.34	2356.64	2216.963	1787.441	2099.43	3010.657	1699.55	2370.041	3869.596	2131.037	3707.113
110	2872.656	4091.755	2529.165	3524.864	2219.778	3845.341	1910.85	2135.37	5085.827	2526.704	2313.715	2181.745	1769.324	2078.741	2964.359	1699.628	2349.627	3812.988	2102.558	3664.77
111	2803.517	4032.012	2489.327	3432.541	2185.397	3763.677	1882.572	2103.609	5005.731	2503.977	2287.472	2150.938	1742.965	2038.348	2905.353	1675.812	2329.278	3740.18	2056.52	3642.407
112	2742.847	3936.298	2420.935	3364.898	2162.881	3673.74	1841.97	2069.893	4930.237	2455.407	2239.587	2103.832	1703.005	1991.397	2854.288	1659.698	2302.735	3681.757	2023.562	3615.175
113	2691.697	3866.719	2371.195	3294.342	2129.373	3583.504	1826.525	2042.074	4823.611	2440.116	2188.965	2094.551	1674.375	1959.072	2773.08	1655.834	2292.711	3578.641	2001.807	3591.785
114	2637.105	3779.009	2318.571	3235.29	2117.361	3510.998	1787.385	2005.954	4752.925	2400.846	2156.811	2054.795	1648.519	1933.748	2719.687	1658.827	2298.423	3533.767	2003.92	3569.568
115	2638.021	3758.333	2289.262	3203.549	2109.528	3473.539	1772.861	2018.999	4670.422	2398.857	2129.296	2030.155	1629.022	1905.016	2666.504	1651.531	2305.041	3456.85	1995.979	3554.202
116	2681.616	3739.145	2269.809	3203.611	2116.57	3436.135	1764.929	2025.951	4624.528	2409.74	2109.096	2032.747	1606.279	1885.82	2612.052	1653.686	2320.993	3420.287	2014.574	3515.006
117	2739.742	3782.561	2257.856	3234.523	2120.25	3415.855	1765.906	2047.891	4581.118	2435.878	2106.833	2038.453	1609.514	1891.675	2568.421	1662.623	2337.588	3405.239	2019.41	3522.96
118	2813.319	3879.348	2262.109	3243.443	2125.08	3408.252	1760.017	2068.201	4538.149	2454.604	2100.926	2041.013	1602.052	1906.765	2540.992	1661.703	2365.022	3410.919	2029.588	3510.612
119	2891.185	3970.119	2264.627	3281.495	2118.339	3397.693	1761.829	2105.261	4521.351	2505.383	2104.799	2044.33	1600.104	1916.815	2500.961	1663.4	2372.689	3419.725	2033.949	3500.232
120	2951.037	4061.987	2268.366	3274.513	2115.361	3374.006	1764.592	2125.819	4485.386	2504.835	2110.604	2069.154	1609.49	1928.233	2493.508	1669.11	2363.659	3412.23	2024.233	3488.918
121	2977.774	4122.972	2256.679	3258.543	2102.205	3341.96	1759.427	2140.234	4400.579	2522.469	2107.482	2066.774	1606.729	1928.367	2455.028	1669.727	2359.454	3394.43	2015.377	3494.371
122	2978.315	4154.018	2240.06	3202.855	2088.562	3291.635	1754.817	2130.819	4326.003	2492.641	2092.779	2058.338	1582.244	1925.742	2407.924	1665.105	2332.843	3386.309	1992.548	3492.789
123	2968.177	4114.97	2219.87	3138.732	2053.305	3217.49	1734.397	2112.609	4261.216	2471.363	2081.239	2050.17	1572.773	1908.199	2349.495	1657.572	2298.514	3355.047	1970.994	3486.474
124	2925.016	4038.363	2190.83	3076.643	2037.429	3168.318	1723.647	2093.878	4163.002	2433.934	2046.355	2029.915	1561.656	1884.084	2320.625	1657.907	2283.714	3300.344	1937.818	3480.075
125	2914.04	3986.347	2154.538	3015.418	2008.164	3105.148	1701.206	2063.362	4070.806	2387.683	2013.803	2007.934	1545.801	1859.318	2260.698	1646.509	2253.355	3261.961	1908.414	3492.14
126	2861.937	3905.773	2116.764	2937.499	2001.272	3050.083	1672.454	2043.172	3985.201	2347.865	1981.692	1979.528	1527.422	1828.846	2211.014	1641.097	2227.3	3214.265	1870.313	3467.865
127	2805.893	3837.766	2091.986	2896.235	1987.754	3000.117	1654.6	2035.016	3894.635	2300.863	1950.177	1944.468	1507.728	1813.078	2146.711	1631.317	2216.62	3175.535	1867.35	3463.208
128	2802.759	3768.031	2070.894	2872.061	1994.529	2952.443	1655.771	2040.323	3841.818	2286.017	1937.516	1924.303	1487.874	1787.679	2089.238	1636.047	2235.041	3131.947	1878.521	3451.276
129	2789.97	3749.744	2048.102	2877.242	1990.192	2919.592	1646.712	2048.794	3743.883	2280.754	1919.751	1929.547	1483.525	1791.199	2053.535	1652.051	2262.489	3092.369	1890.056	3443.245
