TIME	20190130_W09	20190130_W11	20190130_W12	20190130_W13	20190131_W02	20190131_W03	20190131_W04	20190207_W01	20190208_W02	20190208_W03	20190208_W04	20190208_W05	20190214_W02	20190214_W03	20190214_W05	20190219_W01	20190219_W02	20190219_W03	20190219_W04	20180510_W04	20180510_W03	20180510_W02	20180510_W01	20180506_W02
84	1741.974609	1458.903442	1071.060913	1106.403442	1108.339111	827.64563	742.467102	1902.0625	755.417664	764.338989	1010.100525	667.098022	999.425415	795.814575	853.733154	684.431885	780.27356	423.762207	917.944397	440.396	492.193	518.537	814.517	1028.214
85	1725.026367	1421.966553	1034.528809	1037.060913	1090.408081	839.879761	751.48822	1857.434448	757.535522	771.702271	999.386047	665.962708	1006.517151	804.45575	861.805237	683.81012	783.084229	423.71701	920.131409	435.695	496.482	528.756	819.285	1026.099
86	1705.841919	1445.168823	1026.15271	1024.128174	1074.764893	830.88739	744.488892	1855.077759	735.403259	763.452026	968.441956	664.064819	1006.876648	802.426697	869.006775	677.519714	774.131897	418.469879	921.647766	437.772	497.601	524.703	816.17	1033.97
87	1686.310791	1414.325684	996.994263	980.743286	1059.363647	837.68158	750.250916	1845.022095	729.433105	761.004761	958.746338	657.763245	1012.999146	806.518005	856.15979	671.643616	776.980408	417.736969	922.647461	437.913	492.9	530.726	812.002	1038.699
88	1707.494751	1425.051758	994.942993	976.896667	1061.405151	840.609436	741.277893	1833.070923	723.590149	762.27179	959.333862	657.332153	1005.810303	792.590271	848.361938	674.467651	783.651123	415.002716	919.627625	442.523	495.167	529.155	814.081	1024.447
89	1695.177002	1409.212036	1016.177307	948.325684	1050.780762	829.825806	732.570374	1846.261108	731.049255	777.389648	967.143555	655.021606	1010.016724	804.94458	841.658813	666.42865	783.968384	412.015533	911.651123	437.418	496.582	530.265	820.461	1019.582
90	1738.778442	1438.884155	1073.046143	946.545471	1052.590088	823.930542	719.702332	1808.587891	725.429504	770.05304	981.353699	656.113342	1013.03833	807.440491	834.199036	668.657043	781.721558	415.712585	913.856506	434.637	499.111	530.387	822.983	1008.028
91	1736.282959	1441.132568	1131.952148	884.986755	1066.981079	822.18042	708.876282	1840.206909	723.308044	767.759827	987.560852	651.129089	1006.49823	808.621948	831.040833	664.90094	779.997681	414.205872	914.167175	442.22	503.716	532.72	823.659	1028.874
92	1745.986694	1428.705078	1134.210449	883.59906	1098.001709	814.742676	700.244385	1852.458862	733.267517	769.802856	997.475647	649.581238	1006.597351	804.223572	829.888062	666.867065	781.601074	418.160217	908.433655	443.183	503.542	527.375	817.763	1007.518
93	1694.604858	1434.129028	1147.55603	921.442078	1119.491821	809.314819	682.563354	1867.008423	737.824463	771.562927	1006.741394	646.899231	1002.903503	801.574463	833.171265	664.762268	774.526245	413.965912	910.047668	442.903	500.256	530.877	822.406	1015.257
94	1664.441406	1416.550415	1153.32605	926.021301	1145.910522	814.17865	686.10321	1871.827881	729.716797	771.268372	1020.666321	645.179993	1006.924255	808.997498	850.26001	661.279419	778.496033	411.963531	885.422485	443.938	507.792	533.98	822.557	1004.815
95	1660.956177	1410.246216	1148.779907	960.366455	1165.849121	815.741333	674.453491	1868.255737	735.939331	773.348145	1015.803101	635.624023	997.064758	809.332764	852.587097	664.458618	783.564819	412.661041	874.8125	441.199	510.924	529.116	823.801	1019.418
96	1658.546143	1374.23999	1117.792603	942.797424	1174.602783	820.703918	681.297363	1885.78125	756.931641	766.346558	1015.409363	637.995667	990.159241	818.297119	866.076233	666.940674	776.927368	410.508484	862.361938	435.914	508.842	532.514	824.193	1005.4
97	1673.20166	1389.930176	1108.834351	962.371765	1186.051025	835.979065	684.137207	1855.770386	753.137939	760.760681	1006.543579	636.196411	990.850769	823.862122	879.589905	675.538696	789.178528	410.414703	852.72522	433.042	505.976	532.404	825.398	1008.088
98	1636.851929	1356.013184	1057.391846	953.37323	1182.303955	847.659363	680.492859	1847.105835	776.456055	757.944336	1002.145081	633.567261	999.38501	833.991943	883.76709	678.764099	790.536987	412.943848	851.2276	436.877	513.685	538.479	825.194	1014.683
99	1691.239868	1358.192139	1048.319946	949.415527	1183.64978	845.785583	684.479187	1847.250732	783.625122	751.671997	999.924866	636.677429	1000.401001	835.535889	894.679199	691.524353	802.36261	416.842957	843.146484	437.715	515.11	538.101	824.137	1004.476
100	1684.191528	1335.016357	1046.073486	964.126587	1187.797607	870.666138	704.512024	1860.017578	793.288452	776.616272	1016.863708	635.630615	1008.618408	845.702393	894.366028	716.17926	830.128113	422.34967	830.910217	437.679	508.149	538.218	821.991	1009.504
101	1678.472778	1314.673218	1016.160583	950.224854	1184.614746	873.828857	713.43219	1844.581055	791.13092	783.485718	1005.223633	632.374451	1035.566162	882.401367	916.178772	728.092407	839.023499	423.887573	842.624329	440.146	514.208	541.906	825.264	992.22
102	1697.873657	1315.621338	1019.879761	937.859924	1184.358887	874.131531	715.623108	1839.374878	791.17334	796.720459	992.762329	632.144409	1039.528809	889.43103	915.264771	727.561218	836.264343	425.036774	848.763611	437.646	514.562	538.996	815.746	985.923
