TIME	20170616_W09	20170616_W10	201702616_W11	20180127_LSM780_W08	20180127_LSM780_W09	20180127_LSM780_W10	20180127_LSM780_W11	20190127_LSM780_W12	20180203_NLO_W07	20180203_NLO_W09	20180324_W05	20180329_W08	20180329_W09	20190329_W10	20190329_W12	20180331_W02	20180331_W04	20180331_W05	20180402_W08	20180402_W09	20180402_W10	20180402_W12	20180402_W13	20180402_W14	20180403_W08	20180403_W09	20180403_W10	20180403_W11	20180403_W12	20180403_W13	20180413_W05	20180413_W06	20180413_W07	20180413_W08	20180413_W09	20180414_NLO_W04	20180414_NLO_W05	20180414_NLO_W06	20180414_NLO_W07
42	3569.771	3375.271	3798.088	4196.14	4173.305	6144.416	7218.956	13710.296	4656.024	3138.195	3231.394	5388.489	6324.295	3015.823	2758.672	5097.227	2859.236	3292.403	2093.656	6564.766	7032.912	2051.645	6351.75	7392.313	5710.177	7000.134	7221.244	984.758	1240.167	8216.079	7876.076	5029.179	7425.73	4134.798	8626.06	14470.176	11286.47	2091.101	4999.184
43	3498.488	3410.37	3713.589	4256.668	4187.812	6114.781	7129.984	13649.991	4620.133	3069.344	3113.189	5507.236	6178.61	3118.962	2761.939	4991.232	2832.131	3390.662	2049.622	6499.586	6637.609	2011.791	6155.799	7142.649	5672.484	7219.509	7320.8	988.975	1222.632	8079.325	8207.155	5208.018	7415.93	4223.562	8451.696	13942.208	11314.919	2087.289	4838.066
44	3406.608	3408.392	3593.666	4267.519	4149.715	6012.258	7061.121	13587.889	4542.456	3032.419	3040.854	5573.551	5963.374	3176.528	2718.193	4841.257	2793.279	3398.109	2067.614	6566.759	6443.363	2051.399	6206.095	7145.99	5538.97	7273.991	7358.744	987.695	1215.236	7901.646	8326.475	5295.806	7321.361	4293.01	8309.606	13355.963	11332.908	2110.239	4799.792
45	3338.784	3344.979	3497.591	4261.274	4100.479	5849.427	6964.946	13553.345	4455.733	2919.825	3008.401	5629.825	5691.159	3192.978	2641.888	4682.133	2703.779	3364.85	1980.637	6280.274	6011.801	1994.696	6019.151	6909.09	5354.449	7160.749	7204.572	977.618	1182.669	7654.087	8269.431	5282.911	7226.786	4305.173	8297.85	12671.753	11036.988	2074.404	4756.838
46	3276.305	3295.075	3408.841	4068.29	3909.525	5500.88	6613.881	13145.127	4262.055	2803.86	2985.753	5648.009	5514.994	3215.649	2560.979	4534.285	2662.144	3299.369	1960.39	6064.658	5877.036	2024.225	6172.089	6993.155	5099.385	6995.229	6998.759	972.408	1171.569	7373.018	8135.095	5227.944	7115.247	4299.962	8506.827	12317.147	10973.334	2095.473	4916.51
47	3249.455	3215.898	3374.275	3933.968	3829.635	5367.129	6431.001	13112.652	4164.921	2728.149	3046.777	5677.766	5264.555	3221.768	2464.421	4438.572	2638.216	3214.504	2001.689	5998.884	5836.627	2086.639	6438.637	7288.587	4891.274	6742.07	6751.407	958.977	1186.369	7183.54	7880.165	5102.486	6972.732	4297.094	8882.49	11580.928	10576.332	2070.459	5212.804
48	3287.303	3175.305	3398.319	3732.284	3706.148	5143.901	6112.105	12712.577	4013.82	2695.725	3138.065	5707.314	5089.22	3263.602	2378.545	4426.582	2672.142	3103.446	2006.737	5674.706	5765.606	2161.349	6805.425	7487.791	4667.95	6428.562	6486.19	965.459	1210.497	7205.297	7603.588	4973.461	6931.484	4310.99	9515.326	11417.447	10434.177	2093.868	5617.42
49	3430.081	3152.443	3520.9	3595.21	3709.533	5121.048	5982.119	12839.278	3856.767	2682.399	3350.388	5696.211	5004.711	3285.693	2338.161	4515.664	2748.987	3022.964	2112.776	5701.05	6224.109	2372.984	7552.618	8226.363	4499.837	6122.458	6259.84	954.66	1238.131	7369.889	7279.046	4817.797	6958.001	4311.625	10138.938	11396.856	10231.817	2139.087	6087.071
50	3624.648	3210.75	3700.075	3494.461	3767.839	5154.55	5823.862	12884.285	3907.005	2776.532	3591.627	5708.28	5122.511	3357.5	2359.57	4738.486	2895.337	2989.809	2202.517	5713.968	6583.278	2504.829	7964.622	8539.363	4442.615	5868.173	6102.604	965.265	1281.19	7750.92	7044.061	4682.661	7186.351	4395.669	10765.04	12247.739	10646.071	2307.593	6670.98
51	3877.036	3289.686	3932.647	3488.556	3957.229	5483.379	5939.134	13375	3971.42	2944.633	3954.118	5759.952	5454.59	3458.688	2433.994	5058.04	3124.507	3048.032	2307.473	5986.206	7250.496	2718.614	8548.884	9047.329	4504.198	5685.733	6045.761	985.03	1335.277	8270.386	6956.386	4679.269	7586.94	4573.253	11288.959	13348.655	11242.175	2527.828	7081.156
52	4132.005	3418.08	4150.407	3555.272	4265.235	5769.291	6125.088	14001.078	4204.332	3243.254	4258.853	5841.188	5887.72	3590.473	2584.845	5426.253	3407.566	3224.798	2453.388	6686.473	8036.592	2900.214	9110.401	9538.383	4641.593	5672.717	6083.459	1013.106	1377.573	8834.647	7081.791	4798.327	8216.57	4883.498	11733.511	14790.602	12060.256	2731.324	7150.772
53	4361.142	3547.515	4294.978	3619.547	4581.142	6171.405	6416.098	14695.04	4362.078	3466.312	4456.124	5923.616	6382.765	3755.805	2748.001	5785.899	3676.546	3464.374	2438.572	7005.238	8283.226	2957.885	9066.409	9485.946	4874.7	5826.949	6304.521	1033.598	1412.298	9418.957	7356.906	5014.917	8854.837	5145.207	11884.967	16151.634	13032.935	2903.237	7220.85
54	4511.874	3673.303	4390.577	3807.495	4951.368	6568.326	6732.504	15272.379	4596.47	3723.941	4544.413	6014.027	6795.858	3913.643	2904.676	6075.582	3900.653	3679.859	2480.095	7583.703	8689.364	3046.368	9219.034	9603.783	5124.015	6052.409	6519.224	1058.287	1431.891	9777.037	7760.482	5288.069	9315.498	5369.155	11831.562	17772.057	13979.099	3034.149	7034.84
55	4562.815	3742.531	4374.04	3862.851	5053.288	6551.899	6725.004	15329.937	4830.555	3898.107	4499.908	6105.545	7027.36	3994.101	2992.817	6238.61	4002.175	3840.45	2465.082	7947.042	8701.768	3019.582	8880.249	9192.188	5340.798	6286.085	6802.814	1076.588	1439.206	9979.547	8191.868	5545.082	9652.394	5471.591	11606.236	18272.254	14691.913	3138.181	6962.509
56	4550.356	3779.214	4301.234	3994.264	5154.463	6695.243	6896.331	15513.504	4846.401	3853.368	4452.61	6130.89	7074.675	4031.972	3036.399	6274.273	4055.69	3951.262	2426.591	8038.068	8453.158	3005.491	8648.871	8970.642	5438.783	6478.031	7072.882	1085.409	1439.796	10060.608	8466.037	5705.616	9730.085	5526.975	11238.628	18063.479	14778.497	3104.5	6667.574
57	4464.585	3756.069	4190.812	4005.237	5077.331	6504.258	6723.492	15131.034	4890.985	3928.31	4235.783	6161.242	6965.362	4038.007	3025.845	6158.297	4024.676	3971.626	2414.649	8159.396	8293.428	3009.121	8415.744	8655.297	5405.037	6597.705	7213.24	1067.279	1427.535	9898.411	8571.592	5786.79	9619.697	5505.353	10797.145	17878.926	14937.491	3104.57	6446.613
