TIME	20170605_W01	20170605_W02	20170605_W03	20170605_W05	20180415_780_W02	20180415_780_W03	20180415_780_W05	20180421_DB_W02	20180421_DB_W03	20180421_DB_W05	20180421_DB_W06	20180421_NLO_W02	20180421_NLO_W03	20180421_NLO_W04	20180422_780_W02	20180422_780_W03	20180422_780_W05	20180429_DB_W02	20180429_DB_W03	20180429_DB_W04	20180429_DB_W05	20180505_780_W02	20180505_780_W03	20180505_780_W04
70	5474.315	3664.714	5521.197	6028.145	9698.046	3685.29	15442.648	13425.92	5527.717	7350.614	6309.461	9596.477	9237.14	2638.019	11099.804	5656.983	11507.091	13438.39	9572.582	13082.693	11297.965	2132.169	7678.719	1939.849
71	5667.496	3781.59	5682.923	6377.55	9942.416	3652.325	15497.891	13657.453	5691.716	7343.27	6278.562	9946.291	9109.104	2628.417	10702.939	5727.244	11762.675	13333.016	9707.693	13146.968	11312.236	2151.989	7737.454	1923.221
72	5846.958	3851.131	5707.647	6525.915	10388.925	3804.981	15711.807	13812.192	5700.321	7355.184	6268.368	10384.398	8922.693	2603.637	10563.126	5887.945	12247.666	13156.948	9784.81	13181.324	11241.264	2199.573	8028.196	1991.259
73	5992.385	3971.118	5909.382	6547.655	10320.021	3856.004	15417.812	13892.059	5650.711	7417.973	6265.054	10941.444	8777.385	2576.127	10541.503	6074.348	12288.291	12923.833	9937.659	13103.012	11084.017	2210.066	8053.887	1967.413
74	6058.023	4042.631	5999.923	6637.767	10536.33	4065.606	15775.514	13717.025	5732.382	7473.33	6302.644	11474.212	8716.563	2570.764	10437.138	6065.317	12358.662	12787.189	10142.44	13017.836	10901.118	2222.208	8125.362	1997.146
75	6086.496	4066.163	6122.472	6584.931	10644.751	4260.387	15651.534	13460.878	5707.358	7401.464	6358.964	11939.556	8644.047	2612.26	10769.259	6252.422	12500.677	12665.053	10326.213	12950.076	10752.129	2229.379	8133.913	2025.801
76	6055.733	4045.055	6063.782	6675.323	10891.502	4591.245	15979.556	13146.354	5785.812	7467.314	6438.875	12332.161	8599.196	2698.765	10862.233	6200.854	12117.002	12684.677	10459.482	12945.48	10615.204	2237.436	8136.14	2076.521
77	6007.932	4035.793	6096.356	6508.026	10979.383	4694.914	16006.679	12760.586	5834.679	7398.528	6612.997	12403.277	8349.451	2742.384	11191.492	6343.789	12032.669	12886.592	10617.562	12925.073	10505.789	2289.247	8211.057	2129.35
78	5963.438	3987.186	6130.467	6441.052	11106.704	4795.201	16189.949	12510.719	6084.331	7443.954	6687.563	12391.604	8307.989	2838.051	11349.004	6359.011	11795.673	13156.584	10605.195	13074.967	10261.407	2273.162	8062.105	2182.081
79	5927.989	3922	6132.217	6542.295	11197.124	4823.124	16073.081	12494.477	6313.247	7443.066	6724.191	12553.317	8299.022	2946.364	11587.007	6448.841	11758.001	13600.34	10766.417	13227.351	10090.297	2319.541	8170.416	2234.597
